,Dataset_name,Anomaly_classes,Training_sample_size,Test_sample_size,Test_balance_size,Test_length_dev,Anomaly_All_ratio_dev,Test_size_balance_dev,Test_All_ratio_dev,Test_Train_ratio_dev,Anomaly_test_ratio_dev,Amount_of_classes
847,848_black voices_impact_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'religion' 'latino voices' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",5646,62859 (96.1%),2421 N,62859,0.882242172104226,2421,0.9175826582001314,11.13336875664187,0.9614852288455114,32
848,849_black voices_divorce,"['black voices', 'divorce']",141062,62859 (3.8%),2403 A,62859,0.011783975166853831,2403,0.30825172493269454,0.4456125675235003,0.03822841597861881,2
849,850_black voices_divorce_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty']",5606,62859 (96.2%),2403 N,62859,0.8830205214343095,2403,0.9181187468049369,11.212807706029254,0.9617715840213812,32
850,851_black voices_world news,"['black voices', 'world news']",136781,62859 (6.7%),4238 A,62859,0.021228210779402925,4238,0.3148617511520737,0.45955944173532876,0.06742073529645715,2
851,852_black voices_world news_INVERT,"['u.s. news' 'comedy' 'parenting' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",9887,62859 (93.3%),4238 N,62859,0.8058312484535232,4238,0.8640887471476095,6.357742490138566,0.9325792647035428,32
852,853_black voices_media,"['black voices', 'media']",141400,62859 (3.6%),2259 A,62859,0.011059488198806417,2259,0.3077416417391645,0.44454738330975957,0.035937574571660386,2
853,854_black voices_media_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'queer voices' 'home & living' 'women' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",5268,62859 (96.4%),2259 N,62859,0.8895151701968382,2259,0.9226738297591264,11.932232346241458,0.9640624254283396,32
854,855_black voices_weird news,"['black voices', 'weird news']",141516,62859 (3.5%),2208 A,62859,0.010803669724770643,2208,0.3075669724770642,0.4441829899092682,0.03512623490669594,2
855,856_black voices_weird news_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",5152,62859 (96.5%),2208 N,62859,0.8917822117010483,2208,0.9242475481907338,12.200892857142858,0.964873765093304,32
856,857_black voices_religion,"['black voices', 'religion']",141656,62859 (3.4%),2148 A,62859,0.010502897098012371,2148,0.30735642862381735,0.44374399954820126,0.03417171765379659,2
857,858_black voices_religion_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",5012,62859 (96.6%),2148 N,62859,0.8945057535619042,2148,0.926154027493333,12.54169992019154,0.9658282823462034,32
858,859_black voices_style,"['black voices', 'style']",135013,62859 (7.9%),4996 A,62859,0.02524864558906768,4996,0.3176750626667745,0.46557738884403727,0.07947946992475223,2
859,860_black voices_style_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'food & drink'
 'media' 'queer voices' 'home & living' 'women' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",11655,62859 (92.1%),4996 N,62859,0.7765386370346512,4996,0.8435864401320557,5.393307593307593,0.9205205300752478,32
860,861_black voices_science,"['black voices', 'science']",141916,62859 (3.2%),2037 A,62859,0.009947503357343426,2037,0.3069661823953119,0.44293102962315734,0.0324058607359328,2
861,862_black voices_science_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",4752,62859 (96.8%),2037 N,62859,0.8995873452544704,2037,0.9297155788259307,13.22790404040404,0.9675941392640672,32
862,863_black voices_tech,"['black voices', 'tech']",141988,62859 (3.2%),2007 A,62859,0.009797556224889795,2007,0.3068582893574229,0.4427064258951461,0.03192860210948313,2
863,864_black voices_tech_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",4680,62859 (96.8%),2007 N,62859,0.9009905387998045,2007,0.9307067027939413,13.431410256410256,0.9680713978905169,32
864,865_black voices_money,"['black voices', 'money']",142231,62859 (3.0%),1902 A,62859,0.009273977278268078,1902,0.3064947096396704,0.4419500671442934,0.030258196916909272,2
865,866_black voices_money_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",4437,62859 (97.0%),1902 N,62859,0.9058042082738944,1902,0.9340674037089871,14.167004732927653,0.9697418030830908,32
866,867_black voices_environment,"['black voices', 'environment']",140614,62859 (4.1%),2595 A,62859,0.012753534867033955,2595,0.3089304232011127,0.4470323011933378,0.04128287118789672,2
